employee_id,first_name,last_name,email,phone,position,salary,store_id
78,Kerry,Harris,hjones@example.com,905.370.7924x0519,Sales Associate,55994,50
79,Daniel,Dodson,kiaraberry@example.com,001-348-241-3290x3531,Inventory Executive,53492,44
80,Judy,Sloan,rmartinez@example.net,(560)634-5428x323,Cashier,35664,21
81,Caitlin,Anthony,frank57@example.org,001-459-274-8522x0155,Sales Associate,68010,68
82,Kathryn,Wheeler,tkirk@example.com,758-829-0761x81544,Inventory Executive,78052,39
83,Matthew,Jordan,williamwashington@example.org,514.830.9159,Customer Support,61484,3
84,Michael,Cardenas,brichards@example.net,+1-439-720-4589x0837,Inventory Executive,60397,75
85,Spencer,Curtis,lucasmelissa@example.com,693-638-9883x7235,Inventory Executive,37725,21
86,Cameron,Thompson,michellefarrell@example.org,(723)595-0187x44810,Sales Associate,65195,44
87,Virginia,Hughes,debramanning@example.org,+1-873-254-8514x155,Inventory Executive,56884,3
88,Alexander,Lane,michele61@example.com,357-471-4751x074,Sales Associate,83173,79
89,Erica,Ramos,hopkinsjohn@example.net,267-608-5924,Inventory Executive,80848,4
90,Ronald,Santiago,stephaniebarron@example.com,001-616-415-3994,Cashier,39348,37
91,Cynthia,Meyer,rhoover@example.net,+1-910-635-3017x386,Store Manager,43390,78
92,Julia,Mitchell,albertdavis@example.com,7546968272,Cashier,71568,69
93,Michael,Huang,jeremy29@example.org,(737)735-5463x318,Customer Support,73063,100
94,Tyler,James,jennifer76@example.org,(919)745-7785,Store Manager,62085,97
95,Garrett,Gibson,janet14@example.org,627.740.2258,Sales Associate,65335,48
96,Alexis,Mccann,josephtaylor@example.com,+1-755-747-7089x9057,Store Manager,42647,54
97,Tammy,Robertson,zcoffey@example.net,580.811.9894,Store Manager,59498,73
98,Stephanie,Smith,ssanders@example.net,+1-525-557-9736,Store Manager,74952,1
99,Todd,Taylor,crossjordan@example.org,001-937-489-5213,Cashier,34717,9
100,Amy,Walters,conwaygregory@example.com,(222)905-1537x02162,Store Manager,63523,33
101,Catherine,Nelson,vargasrichard@example.net,635.811.0647x1418,Sales Associate,77251,59
102,Kelly,Delgado,russellchaney@example.org,(886)428-3936x15523,Inventory Executive,41738,52
103,Jared,Cole,uvazquez@example.org,(879)437-9191,Sales Associate,60700,99
104,Judy,Fisher,lynchchristine@example.org,(836)827-4188x261,Cashier,64522,52
105,Luis,Page,ymartinez@example.org,530.684.4495x2900,Inventory Executive,84763,83
106,Sarah,Watson,hernandezamber@example.org,+1-775-616-3078x8949,Store Manager,34611,10
107,Karen,Duncan,hgarrett@example.net,(362)790-5442,Sales Associate,30756,36
108,Monique,Mcgrath,maryharrington@example.com,(410)859-7747,Sales Associate,46924,100
109,Ashlee,Harrison,harrisjohn@example.org,923-768-3890,Sales Associate,88389,37
110,Shane,Montoya,stephanie86@example.net,460.661.8776x49050,Store Manager,45019,85
111,Pamela,Fisher,carla59@example.org,+1-342-388-5790x896,Customer Support,37665,20
112,Amanda,Tanner,zpotter@example.com,(302)917-8429,Sales Associate,78458,90
113,Sarah,Freeman,dianetaylor@example.com,567.716.3869x844,Customer Support,77859,48
114,Danielle,Dixon,gregory54@example.org,001-890-328-7423x353,Customer Support,49912,69
115,Melinda,Anderson,rlee@example.org,299-205-6342x374,Cashier,77263,72
116,Deborah,Blake,josephdavid@example.net,511-657-1021x609,Store Manager,74050,55
117,Gregory,Lawrence,taylorbrenda@example.org,3212543201,Store Manager,69758,3
118,Gregory,Johnson,randysnyder@example.org,301-447-4945x4752,Sales Associate,56361,18
119,Mary,Tate,anitakelly@example.net,+1-440-906-1557,Inventory Executive,39798,72
120,Tanya,Hanson,patkins@example.net,6859094163,Sales Associate,80422,11
121,Dylan,Ayala,michael34@example.com,489-886-4250,Sales Associate,40926,23
122,Pamela,Kennedy,laura45@example.com,(370)916-1779,Store Manager,87613,37
123,Lisa,Bond,rebekahaguilar@example.org,+1-425-802-3343x6636,Inventory Executive,30243,17
124,Heather,Klein,david15@example.net,(796)782-8312x9341,Sales Associate,67865,73
125,William,Willis,devonwade@example.org,311-872-0713,Inventory Executive,68187,15
126,Jordan,Hicks,codylewis@example.net,+1-744-814-3531x41955,Inventory Executive,74535,1
127,Carla,Perez,terrellmichael@example.com,+1-368-741-1038x471,Inventory Executive,61778,31
128,Katherine,Holmes,watsonderrick@example.net,531-952-7137x86154,Cashier,67185,59
129,Mary,Hayes,monicawalsh@example.org,+1-287-628-4789,Store Manager,78135,42
130,Sheila,Stein,theresa91@example.com,001-887-595-6814,Sales Associate,59218,66
131,Randy,Myers,smithdiana@example.com,+1-255-239-3367x014,Store Manager,43020,41
132,Kelly,Holmes,matthew74@example.net,001-462-338-2312x46662,Customer Support,46469,90
133,Jonathan,Turner,abrooks@example.com,(786)516-4544,Store Manager,89805,90
134,Amanda,Andrews,igeorge@example.net,+1-901-893-3092x576,Sales Associate,77300,68
135,Michael,Gray,nataliewatson@example.org,001-772-832-0779x6147,Inventory Executive,87963,2
136,Erin,Bartlett,elizabeth67@example.net,001-451-272-7508,Inventory Executive,73733,69
137,Daniel,Jenkins,nicholasnielsen@example.org,(460)367-1339x8447,Store Manager,39547,94
138,Kenneth,Davis,rquinn@example.org,(963)965-7314x2385,Cashier,54111,86
139,Melanie,Cochran,wgarcia@example.org,414-453-0983,Cashier,72117,87
140,Victoria,Shah,cameronpittman@example.com,+1-205-784-3488x8452,Inventory Executive,76595,3
141,Cheyenne,Young,brenda83@example.org,+1-396-593-3875x036,Sales Associate,45920,12
142,Tiffany,Mcneil,tracychan@example.org,+1-565-790-1097,Inventory Executive,42227,7
143,Tara,Hayden,thomassmith@example.org,+1-231-969-6664x4528,Inventory Executive,75339,9
144,Jamie,Osborn,joshuaford@example.org,622.781.7453,Inventory Executive,57427,2
145,Michael,Young,bglenn@example.net,869.783.8498x12112,Store Manager,55170,72
146,Cameron,Phillips,mariarobinson@example.org,+1-642-669-2498,Sales Associate,75331,3
147,Michael,Gonzalez,sray@example.net,326.273.7888x516,Sales Associate,42916,68
148,Cynthia,Howard,wsmith@example.com,+1-962-975-1347x91620,Customer Support,61981,98
149,Nicholas,Hicks,michael19@example.net,+1-889-544-8353,Sales Associate,39150,55
150,Victoria,Kennedy,ewhitehead@example.net,+1-987-535-8055x0830,Sales Associate,72903,68
151,Jenna,Hernandez,phillipsmith@example.net,913.872.1675x413,Customer Support,42338,4
152,Brandi,Gates,wgonzales@example.org,347.568.1021x518,Cashier,42185,88
153,Sean,Waters,silvapatricia@example.net,(258)654-3580,Store Manager,31427,62
154,Ana,Brooks,jamesjones@example.org,569-597-5225,Customer Support,66539,59
155,Mitchell,Thomas,mlee@example.org,(673)739-1839,Cashier,69734,33
156,Corey,Parker,christopherjarvis@example.net,578.581.4080,Cashier,39320,93
157,Brittany,Bell,ssanchez@example.net,001-814-258-6922,Sales Associate,46171,61
158,Kevin,Davis,brownteresa@example.org,872-706-2678,Customer Support,39547,44
159,Charles,Reeves,alexander95@example.net,(309)386-7469x001,Sales Associate,78644,43
160,Deborah,Mcconnell,caseyquinn@example.org,619-250-2107x938,Sales Associate,88460,94
161,Paul,Smith,jonesdiamond@example.com,8755419394,Store Manager,63427,58
162,Justin,Hayden,amyguerra@example.org,847-822-7476x03491,Sales Associate,33841,30
163,Eric,Johnson,elizabeth88@example.net,001-444-250-8446,Cashier,30913,68
164,David,White,mgarza@example.net,662-722-5385x8699,Inventory Executive,81262,21
165,Mary,Larsen,lynncorey@example.com,3363363529,Store Manager,51227,49
166,Mary,Kerr,meghanclark@example.org,685-708-9874x66199,Store Manager,86129,48
167,Heidi,Morales,robinsonvictoria@example.net,001-259-913-8836x082,Cashier,81748,95
168,Summer,Brown,william50@example.org,001-642-494-5997x23979,Inventory Executive,73539,63
169,Hannah,Orr,lewisstephen@example.net,621-202-8035,Customer Support,30996,96
170,Joe,George,gail46@example.com,+1-700-731-3455,Cashier,66959,17
171,Eric,Kirk,lauren41@example.com,(930)269-2409x689,Sales Associate,43358,77
172,John,Griffin,tina57@example.org,315.673.4078,Inventory Executive,56677,23
173,Margaret,Jones,seth44@example.org,535-977-7398x0044,Cashier,63479,33
174,Sarah,Arnold,victoriagillespie@example.net,702-365-7667,Cashier,86385,59
175,Leonard,Bridges,patriciaguerra@example.com,+1-265-929-2964x4029,Cashier,52139,58
176,Danielle,Li,steven23@example.com,+1-890-587-6892x847,Cashier,81142,54
177,Dawn,Acosta,christopher74@example.net,258-318-6331x885,Store Manager,68481,12
178,David,Hall,barbaramathis@example.org,2374069998,Store Manager,39852,82
179,Daniel,Johnson,perezjasmine@example.org,+1-612-651-9761x8057,Cashier,38579,39
180,Andrew,Gilbert,jasoncaldwell@example.org,397.571.6643,Store Manager,46658,56
181,Madeline,Jarvis,kevin40@example.com,(305)922-7575x54606,Inventory Executive,39040,62
182,Aaron,Gordon,carrollwillie@example.org,001-249-320-0101x2327,Inventory Executive,58160,69
183,Brenda,Calhoun,vklein@example.com,001-899-682-2294x234,Sales Associate,52303,87
184,Bethany,Ray,george23@example.net,618-712-5566,Cashier,85150,30
185,Laura,Branch,darleneharris@example.org,+1-684-219-2874x6085,Store Manager,52498,8
186,Dawn,Underwood,hhall@example.net,539-803-5894,Customer Support,41896,25
187,Kirsten,Smith,webersheena@example.net,(944)968-2811,Cashier,34041,62
188,David,Ellis,calhouncurtis@example.net,596.663.9200,Inventory Executive,74229,20
189,Nicole,Zavala,wendythomas@example.net,(410)862-5181x69711,Cashier,41119,38
190,Albert,Wagner,williamsbrooke@example.net,804-763-7564x30184,Customer Support,53510,44
191,Danielle,Guzman,matajonathan@example.com,001-884-801-6862,Inventory Executive,40977,81
192,Andrew,Padilla,sophiajordan@example.com,654-485-6739,Inventory Executive,65004,65
193,Jennifer,Hernandez,anna91@example.net,541.834.6332,Cashier,44283,87
194,Antonio,Martin,xking@example.org,(809)645-5821x09786,Inventory Executive,77539,43
195,Suzanne,Strong,phernandez@example.net,315.870.6569x095,Store Manager,83183,43
196,Edwin,Powell,roger80@example.net,8506791404,Sales Associate,64186,30
197,Vanessa,Jimenez,fgraham@example.org,+1-524-204-0599x6243,Inventory Executive,70208,25
198,David,Nelson,egentry@example.net,+1-838-877-7436x42541,Store Manager,73733,58
199,Tanya,Swanson,corey14@example.org,707-268-7507x582,Inventory Executive,64746,89
200,Ashley,Wood,richardjohn@example.net,640-628-1395,Customer Support,46019,53
201,Alexis,Harris,xdonovan@example.net,917.480.8405,Store Manager,78364,49
202,Brian,King,kimberly78@example.com,(357)221-9224x31223,Cashier,65704,55
203,Marvin,Mason,melissa94@example.org,408.755.6209x03358,Inventory Executive,83093,7
204,Matthew,Daugherty,joshuajohnson@example.net,+1-899-916-0896x03577,Store Manager,52474,51
205,Taylor,Clark,ralphschroeder@example.net,+1-574-711-2992x6453,Inventory Executive,33973,69
206,Cristian,Rodriguez,wcox@example.net,551-447-6223x3231,Inventory Executive,49013,36
207,Bryan,Christian,jonathanscott@example.net,472-403-0538x41151,Store Manager,66391,2
208,James,Allen,sswanson@example.org,303-972-2328x383,Inventory Executive,86228,33
209,Gregory,Edwards,elizabeth81@example.com,+1-435-484-2831x9228,Cashier,37527,91
210,Margaret,Hall,sheri56@example.net,933-526-3976x916,Sales Associate,56312,46
211,Philip,Holt,brittanyfinley@example.org,842.216.6828x9784,Sales Associate,66729,93
212,Jason,Brown,hughesrobert@example.org,+1-873-417-9666x857,Store Manager,54471,71
213,William,Barnett,michelle86@example.org,683-209-4001x1441,Sales Associate,73353,19
214,Brian,Smith,robert50@example.net,323-957-7787x035,Cashier,75969,50
215,Eric,Spears,osbornemolly@example.com,2262125844,Cashier,67097,23
216,Willie,Collins,brianaromero@example.org,759-439-8178x747,Cashier,35751,12
217,Sabrina,Meyer,uandrews@example.org,(601)268-0466,Cashier,82208,91
218,Nicholas,Taylor,zamoraterri@example.org,712.506.8992x26091,Store Manager,61671,14
219,Cassandra,Reed,tylerhess@example.net,501-391-7956x191,Cashier,44317,6
220,Austin,Gould,beardjesus@example.net,(707)668-9018,Inventory Executive,33039,50
221,Jeremy,Reed,kristaparker@example.com,(490)522-7902x6862,Sales Associate,33795,45
222,Melanie,Bennett,ronald66@example.org,(438)531-7333x275,Sales Associate,88848,26
223,Thomas,Morgan,cooperdonna@example.net,516-323-4077x575,Store Manager,75274,47
224,Mark,Smith,mccormickjon@example.com,+1-863-484-0959x8036,Cashier,73388,56
225,Joseph,Foster,bradley31@example.org,852.930.5217,Inventory Executive,69555,10
226,Robert,Johnson,carteramy@example.net,2673103789,Store Manager,82440,62
227,Monica,Johnson,rvega@example.com,269-474-0441x1889,Inventory Executive,60550,67
228,Natalie,Vance,sboyle@example.com,(664)274-3554,Customer Support,85356,33
229,Zachary,Wood,lmiller@example.net,538-752-1025,Inventory Executive,34572,6
230,Melissa,Green,littledana@example.net,(856)329-7615x934,Customer Support,60487,17
231,Michael,Smith,ylewis@example.net,(415)309-3094x523,Inventory Executive,41057,47
232,Veronica,Hayes,jcalderon@example.org,+1-297-524-5432x578,Inventory Executive,34690,42
233,Cheryl,Stewart,thomasheather@example.org,967-789-5050x5911,Store Manager,59442,44
234,Lisa,Pace,beckyphillips@example.org,+1-784-575-5816x60702,Store Manager,45336,37
235,Gabriel,Norman,benjamin03@example.net,(810)832-4315x5151,Inventory Executive,30583,89
236,Tanya,Foster,mitchellharold@example.net,001-774-591-9866x352,Customer Support,89258,51
237,Jacob,Castillo,daniel44@example.com,(919)806-2856x07361,Customer Support,81959,81
238,Maurice,White,david08@example.org,2589955364,Sales Associate,83713,81
239,Courtney,Mitchell,stephanie53@example.net,+1-247-610-5836x67934,Cashier,49028,28
240,Jacob,Reed,qpeterson@example.com,001-745-529-9302,Cashier,68975,44
241,Brendan,Lambert,lmorales@example.org,+1-520-233-7909x5308,Store Manager,87304,45
242,Jennifer,Lopez,gloria39@example.net,(683)867-3327x600,Store Manager,80612,68
243,Madison,Doyle,marioflowers@example.com,001-389-966-1946x13146,Inventory Executive,36349,44
244,Kelly,Farmer,connielucas@example.net,734.645.9193,Customer Support,35279,29
245,Jesse,Banks,cvance@example.com,+1-282-471-7401x6958,Customer Support,78076,47
246,John,Cardenas,burgessjustin@example.net,+1-685-721-7993,Sales Associate,87571,46
247,Jamie,Anderson,omaxwell@example.org,(875)648-9629x19077,Sales Associate,77063,80
248,Kenneth,Pruitt,nsexton@example.com,577.818.7588,Sales Associate,86297,17
249,Jose,Hendricks,aporter@example.net,801-201-7826,Store Manager,63469,34
250,Teresa,Martin,terry87@example.com,(535)246-6312x3004,Store Manager,77035,96
251,Andrew,Hamilton,sandra20@example.org,(859)891-4459,Cashier,87948,26
252,Valerie,Arnold,cohentracey@example.com,7084528734,Inventory Executive,44832,96
253,Roger,Garcia,meghan01@example.net,+1-760-503-0196x36906,Cashier,36476,98
254,Valerie,Miller,jrodriguez@example.com,(539)351-1987,Sales Associate,45230,83
255,Gail,Reid,fosborne@example.com,(987)388-1347x29189,Cashier,83657,28
256,Mary,Hernandez,michaelkeller@example.net,(386)897-9075x105,Store Manager,69583,51
257,Nancy,Horne,xray@example.com,+1-597-243-5332x82033,Sales Associate,78226,27
258,Jesus,Lewis,justinhernandez@example.org,734-667-0761,Sales Associate,76986,11
259,Sherry,Matthews,qgonzales@example.net,302.837.9268x8208,Customer Support,55066,45
260,Kristin,Munoz,larsenmorgan@example.net,(962)403-1132,Inventory Executive,58354,48
261,Cameron,Stafford,navila@example.net,001-258-616-4881x0900,Cashier,56106,34
262,Wanda,Howell,tstevens@example.net,459-470-2957,Store Manager,30459,66
263,Karen,Newman,obarrett@example.net,001-590-449-5856x87290,Cashier,35191,87
264,Annette,Hodges,rothanita@example.com,984-746-6637,Sales Associate,70585,39
265,Lacey,Rivera,nmejia@example.com,(223)530-1712x6755,Store Manager,84569,63
266,Catherine,Cruz,crystallewis@example.net,+1-701-445-5179x4462,Inventory Executive,59378,51
267,Carol,Rogers,monica42@example.com,982-405-9402x94813,Sales Associate,65342,25
268,Mary,Gonzalez,lfernandez@example.net,7744978237,Store Manager,40565,31
269,Bethany,Leblanc,kburns@example.net,432-546-7234,Cashier,65092,68
270,Paul,Freeman,cynthiadrake@example.com,922.573.0114x208,Customer Support,50287,7
271,Marissa,Collins,dennis45@example.org,702-307-1657x170,Customer Support,73131,14
272,Julie,Jones,brett72@example.com,001-934-470-4157x45515,Cashier,31983,50
273,Michael,Johnson,nicholas84@example.com,607-510-1353x8974,Customer Support,37275,36
274,Stephen,Miller,reyespatricia@example.org,4113926574,Sales Associate,82629,44
275,Jason,Rogers,yfry@example.org,001-560-383-9662x4923,Store Manager,40405,65
276,Amy,Bennett,jnunez@example.com,985-960-9332x5206,Store Manager,62382,92
277,Lisa,Martin,lindseywagner@example.org,481-266-8146,Sales Associate,64988,29
278,Eduardo,Hahn,ablake@example.org,+1-615-419-7168x435,Store Manager,70410,8
279,Douglas,Mays,owilliams@example.org,859-546-8934x520,Store Manager,62690,15
280,Jennifer,Taylor,susanmills@example.com,(947)618-3199x562,Inventory Executive,59831,17
281,Crystal,White,wbowman@example.com,207.649.9141,Cashier,77245,65
282,Cynthia,Davis,paulawall@example.net,001-671-907-8915,Cashier,43528,18
283,Bruce,Walton,sarah09@example.com,(807)668-6398x68725,Sales Associate,67347,71
284,Matthew,Romero,rogerscharles@example.com,395-937-1521x8003,Cashier,60808,7
285,Sarah,Campbell,grantmichael@example.net,5806353900,Cashier,82677,71
286,Patrick,Combs,allison88@example.net,+1-856-491-1484,Inventory Executive,39483,94
287,Tara,Pace,stephanie61@example.net,209-356-7855,Sales Associate,37496,10
288,Rachel,Kennedy,carl04@example.org,+1-824-252-0256,Customer Support,46961,27
289,Angela,Johnson,stephaniereynolds@example.net,4154924581,Cashier,58338,81
290,Maureen,Moss,stacey75@example.net,+1-263-886-7012x147,Sales Associate,42525,78
291,Shannon,French,ashleyanderson@example.org,818-839-6398x4513,Sales Associate,46661,77
292,Tracy,Anderson,nadkins@example.com,+1-744-362-4676x5630,Store Manager,37234,77
293,Christine,Davidson,jenniferschmitt@example.net,847.659.2945x758,Customer Support,64016,87
294,Eric,Chavez,mmurphy@example.org,792-479-7041,Sales Associate,76245,54
295,Kimberly,Griffin,mccoynicole@example.net,593-682-2859x3004,Customer Support,73099,72
296,Michael,Moreno,bookercarolyn@example.com,(494)517-4720,Inventory Executive,46775,44
297,Emma,Kaufman,ryan79@example.org,(803)511-8369x9361,Inventory Executive,64970,53
298,Wendy,Dean,iharvey@example.net,001-529-640-3553x371,Cashier,83497,48
299,Nicole,Coffey,guy21@example.org,477-878-6535x0000,Customer Support,88608,14
300,Kimberly,Davis,alvarezchad@example.net,+1-381-907-7360x638,Store Manager,63580,43
301,Tammy,Clark,stephenwallace@example.net,+1-211-890-0814x533,Cashier,40047,70
302,Vickie,Murphy,perryjessica@example.net,(690)748-3786x70778,Store Manager,37586,38
303,Patrick,Lloyd,yramirez@example.org,001-836-734-5610,Store Manager,36120,37
304,Amanda,Hernandez,fordnancy@example.com,311.826.8315,Customer Support,72757,89
305,Brittney,Caldwell,seth95@example.org,001-491-381-0795x427,Inventory Executive,59572,46
306,Benjamin,Glass,roybrianna@example.com,(212)601-0509x5100,Inventory Executive,76417,30
307,Phillip,Schaefer,moralesjennifer@example.net,520.672.9348,Sales Associate,36169,77
308,Tyler,Gonzalez,austinjackson@example.org,689-945-7957x979,Customer Support,32054,77
309,Sharon,Gilbert,johnnycole@example.net,(329)991-2712,Customer Support,55934,35
310,Hannah,Berg,john32@example.org,403-628-2803,Cashier,71902,13
311,Travis,Stephens,edwardscorey@example.org,735-917-9355x23000,Customer Support,82066,97
312,Kathleen,Moore,rwalker@example.com,001-793-305-4889x08115,Customer Support,76804,10
313,Brandon,Thompson,schultzmisty@example.com,(363)547-8994x7252,Cashier,68337,33
314,Patricia,Booth,kimberly57@example.com,+1-565-855-5277x2413,Sales Associate,87416,38
315,Chad,Davis,kathleen47@example.com,785-684-1319x8788,Customer Support,47530,30
316,Lauren,Adkins,ocuevas@example.com,+1-249-781-9873x900,Cashier,79888,72
317,Mark,Ayala,zwhite@example.net,+1-653-958-1997x11249,Customer Support,32132,53
318,William,Greene,jeffrey84@example.net,983-710-8658x91139,Customer Support,52043,94
319,Donald,Butler,russellruiz@example.org,001-950-736-1619x91804,Customer Support,34080,15
320,Timothy,Smith,dmorales@example.com,414.409.0466x6738,Sales Associate,75128,91
321,Lori,Stark,xcarter@example.net,(271)548-3136x9358,Store Manager,36765,27
322,Cassandra,Phillips,bartlettdouglas@example.com,854.391.2134,Sales Associate,59350,88
323,Ethan,Lopez,heather64@example.org,001-398-929-8848,Sales Associate,80203,90
324,Anne,Jenkins,jennifer63@example.org,+1-804-875-0126x892,Sales Associate,70006,8
325,Tyler,Harrison,wheeleramanda@example.org,563-518-0376x559,Store Manager,60406,71
326,Jorge,Green,ellisanthony@example.net,380-358-0903,Customer Support,59498,87
327,Ashley,Paul,rossmargaret@example.org,621.329.3272x22462,Customer Support,55163,46
328,Julian,Gonzalez,espinozajean@example.com,333-811-1691x857,Sales Associate,75791,20
329,Natasha,Perez,mlawson@example.com,001-284-590-1292x0809,Store Manager,51481,79
330,Monique,Taylor,david67@example.net,820.475.4620,Cashier,43623,7
331,Ashley,Sanders,shelly76@example.com,622-571-9153x00769,Store Manager,34782,84
